,cpu,gpu,model,ram
9672,"Qualcomm MSM7227A (Snapdragon S1), 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 200 enhanced GPU",Qualcomm Adreno 200,MOTOLUXE XT685,512
9673,"Texas Instruments OMAP 4430, 2011, 32 bit, dual-core, 1024 Kbyte L2, 45 nm, IMG PowerVR SGX540 GPU",PowerVR SGX540,ELECTRIFY 2 XT881,1.00
9674,"Samsung S5PC210 Exynos 4 Dual 4210 (Orion), 2011, 32 bit, dual-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 45 nm, ARM Mali-400 GPU",ARM Mali-400,SCH-R760 Galaxy S II CDMA,1.00
9675,"Intel Atom 2nd Gen Z2760 (Cloverview), 2012, 32 bit, dual-core, 32 Kbyte I-Cache, 24 Kbyte D-Cache, 1024 Kbyte L2, 32 nm, IMG PowerVR SGX545 GPU",Intel GMA,ThinkPad Tablet 2 4G,2.00
9676,"Samsung Exynos 4 Quad 4412, 2012, 32 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 32 nm, ARM Mali-400 GPU",ARM Mali-400,GT-N8010 Galaxy Note 10.1 WiFi 64GB,2.00
9677,"Samsung Exynos 4 Quad 4412, 2012, 32 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 32 nm, ARM Mali-400 GPU",ARM Mali-400,GT-N8000 Galaxy Note 10.1 3G / GT-N8005 Galaxy Note 800 3G 32GB,2.00
9678,"Samsung S5PC111 Exynos 3110, 2011, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 45 nm, IMG PowerVR SGX540 GPU",PowerVR SGX540,YP-GI1CW / YP-GI1CB / Galaxy Player 4.2 / Galaxy S WiFi 4.2 8GB,512
9679,"MediaTek MT6575, 2011, 32 bit, single-core, 256 Kbyte L2, 40 nm, IMG PowerVR SGX531T GPU",PowerVR SGX531T,Ascend G500D U8832D,512
9680,"Qualcomm Snapdragon S2 MSM8655T, 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 205 GPU",Qualcomm Adreno 205,SCH-i919,1.00
9681,"Samsung S5PC210 Exynos 4 Dual 4210 (Orion), 2011, 32 bit, dual-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 45 nm, ARM Mali-400 GPU",ARM Mali-400,YP-GB70ED Galaxy Player 70 Plus 16GB,1.00
9682,"Qualcomm MSM7225A (Snapdragon S1), 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 200 enhanced GPU",Qualcomm Adreno 200,E405 Optimus L3 Dual / Optimus L2,384
9683,"HiSilicon K3V2 Hi3620, 2012, 32 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 40 nm, Vivante GC4000 GPU",Vivante GC4000,MediaPad 10 FHD S10-101u 16GB,2.00
9684,"MediaTek MT6577, 2012, 32 bit, dual-core, 40 nm, IMG PowerVR SGX531T GPU",PowerVR SGX531T,Shine U8836D,512
9685,"Qualcomm Snapdragon S4 MSM8960, 2012, 32 bit, dual-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 230 GPU",Qualcomm Adreno 225,Xperia T LT30at,1.00
9686,"Qualcomm MSM7227, 2009, 32 bit, single-core, 65 nm, Qualcomm Adreno 200 GPU",Qualcomm Adreno 200,GT-i5500M Galaxy Europa,256
9687,"Qualcomm MSM7227, 2009, 32 bit, single-core, 65 nm, Qualcomm Adreno 200 GPU",Qualcomm Adreno 200,GT-i5510M Galaxy 551,512
9688,"Qualcomm MSM7627, 2009, 32 bit, single-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 65 nm, Qualcomm Adreno 200 GPU",Qualcomm Adreno 200,AS740 Axis,256
9689,"Qualcomm MSM7627T, 2010, 32 bit, single-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 65 nm, Qualcomm Adreno 200 GPU",Qualcomm Adreno 200,Quattro 4G 5860E ,512
9690,"Marvell PXA968, 2011, 32 bit, single-core, 45 nm",Qualcomm Adreno 200,GT-S5690L Galaxy Xcover Extreme,512
